"Hex","x","y","region","OccNb","Dist_boreal","Road_dist_km","Snow","BobcatP","CoyoteP"
"H100",1299658.53906041,586391.99921962,"East",0,331.850319438184,0.304661636748452,496.540530047239,1,41
"H116",1215421.95349885,635026.01456921,"East",0,243.902185888349,0.838259918755053,644.3772705084,1,60
"H117",1271579.67720656,635026.01456921,"East",0,275.692595730479,1.17457297911497,623.746282771059,1,49
"H118",1327737.40091427,635026.01456921,"East",0,304.464021448477,1.09305469730913,553.512849730548,2,52
"H119",1383895.12462198,635026.01456921,"East",0,338.923836778386,1.15377497015387,454.19308429356,6,51
"H120",1440052.84832969,635026.01456921,"East",0,378.612960397085,0.465535165196531,376.252372506987,3,42
"H134",1131185.36793728,683660.02991879,"East",0,156.298123405695,9.95906704493617,647.681435056059,2,45
"H135",1187343.09164499,683660.02991879,"East",0,188.605040843155,1.06373603934113,689.903004474358,8,45
"H136",1243500.8153527,683660.02991879,"East",0,219.534872022762,1.40274872616917,714.275491882894,1,43
"H137",1299658.53906041,683660.02991879,"East",0,248.456717065351,2.32520189063806,670.38477532507,0,49
"H138",1355816.26276813,683660.0299188,"East",3,284.162061336238,0.906775418081814,592.918688386115,7,50
"H139",1411973.98647584,683660.0299188,"East",3,325.688184948257,1.0413499421037,507.520345070962,3,51
"H158",878475.61125258,732294.04526838,"Central",14,62.8264217876479,2.10999698835204,769.034742591571,44,49
"H159",934633.33496029,732294.04526838,"Central",36,48.2373933048979,3.57008804460137,721.113834990663,43,51
"H160",990791.058668,732294.04526838,"Central",65,48.9739800118114,3.40731213738944,691.045296753786,31,49
"H161",1046948.78237571,732294.04526838,"Central",40,71.875876158498,2.98469253086918,674.670773627769,36,50
"H162",1103106.50608343,732294.04526838,"East",6,100.169478429311,4.93437609693789,683.533286126393,9,51
"H163",1159264.22979114,732294.04526838,"East",4,133.537065599554,3.34129267815595,699.583472202223,5,53
"H164",1215421.95349885,732294.04526838,"East",10,163.377148315058,2.13251169927077,731.755883641117,6,44
"H166",1327737.40091427,732294.04526838,"East",6,230.074263952328,2.93328931829096,692.665283000309,0,41
"H167",1383895.12462198,732294.04526838,"East",6,274.053268021399,0.725491325683775,633.303340163726,1,43
"H168",1440052.84832969,732294.04526838,"East",9,321.729563168273,4.07298802172628,560.84993036077,0,48
"H189",850396.74939873,780928.06061797,"Central",59,26.2553296790198,3.11435857317952,944.395257343274,29,47
"H190",906554.47310644,780928.06061796,"Central",65,7.96689657344902,3.51135522190928,882.358048965431,19,40
"H191",962712.19681415,780928.06061797,"Central",68,0,6.28113123515425,829.15510686079,9,34
"H192",1018869.92052186,780928.06061797,"Central",68,15.7181524507845,4.19240782690306,785.946648106627,13,46
"H193",1075027.64422957,780928.06061797,"Central",59,44.0408334529179,1.38697289229215,756.530129414447,6,46
"H194",1131185.36793728,780928.06061797,"East",56,79.3999237046205,1.07823271746797,761.567014238917,8,57
"H195",1187343.09164499,780928.06061797,"East",53,107.219424607342,2.31021749731468,786.642945634089,11,44
"H196",1243500.8153527,780928.06061797,"East",27,136.81257121957,3.95594043367066,790.990513347755,3,57
"H220",822317.88754487,829562.07596755,"Central",60,0,8.02578963061064,1118.79694894187,3,18
"H221",878475.61125258,829562.07596755,"Central",65,0,4.29564828441812,1037.95961228188,5,26
"H222",934633.33496029,829562.07596755,"Central",68,0,5.51408214701387,967.476924760436,8,29
"H223",990791.058668,829562.07596755,"Central",66,0,6.26366340045045,914.318880405913,3,22
"H224",1046948.78237571,829562.07596755,"Central",70,0,5.69090228636194,870.113834780528,5,34
"H225",1103106.50608343,829562.07596755,"Central",66,25.0039411872591,7.87246186846035,845.567207659722,4,23
"H226",1159264.22979114,829562.07596755,"Central",66,51.0617008996372,3.94493223235873,853.526876326492,1,26
"H244",344977.23602933,878196.09131714,"West",47,22.7616688389289,19.391885416697,749.612313287647,0,4
"H245",401134.95973704,878196.09131714,"West",64,8.95551298325889,3.20637944798488,778.481217739905,11,36
"H246",457292.68344475,878196.09131714,"West",54,2.2880339393044,2.31307802248228,803.629459851306,10,38
"H253",850396.74939873,878196.09131714,"Central",70,0,4.39649637550726,1156.16118531453,1,10
"H256",1018869.92052186,878196.09131714,"Central",68,0,4.0764502523712,983.506771051927,1,14
"H257",1075027.64422957,878196.09131714,"Central",70,0,6.37980313108779,948.077198846957,0,23
"H258",1131185.36793728,878196.09131713,"Central",70,0,6.98675501625942,922.851905057857,0,37
"H273",148425.20305234,926830.10666672,"West",6,77.6651614766423,2.60682483653268,620.546095827203,25,48
"H274",204582.92676005,926830.10666672,"West",24,46.6431149149083,5.21300041392838,684.446401444485,20,42
"H275",260740.65046776,926830.10666672,"West",62,38.8819617094348,2.67148626191758,747.686478217546,11,40
"H276",316898.37417547,926830.10666672,"West",65,5.53605644573302,4.32459078791418,791.866410924402,11,40
"H277",373056.09788318,926830.10666672,"West",64,0,2.42928436125378,817.099287227753,1,14
"H278",429213.82159089,926830.10666672,"West",64,0,2.69617917083142,829.35059949098,0,33
"H279",485371.5452986,926830.10666672,"West",64,0,2.48010389274192,861.257955881901,11,30
"H302",120346.34119848,975464.12201631,"West",16,50.890617646152,9.84269929672992,649.597249167309,18,40
"H303",176504.06490619,975464.12201631,"West",47,21.9677298847991,4.32983636781834,712.108921713217,9,23
"H304",232661.7886139,975464.12201631,"West",61,0,2.7239904543185,789.810696439978,4,27
"H305",288819.51232161,975464.1220163,"West",68,0,2.57483669600304,854.048938903232,2,20
"H306",344977.23602933,975464.12201631,"West",70,0,2.91355432986655,876.127841309686,3,20
"H307",401134.95973704,975464.12201631,"West",70,0,2.784678423326,879.873025822959,0,16
"H308",457292.68344475,975464.12201631,"West",66,0,4.19978790763409,888.02232686971,2,12
"H327",92267.47934463,1024098.13736589,"West",45,0,3.33971030255716,704.743446507656,9,40
"H328",148425.20305234,1024098.13736589,"West",57,0,4.36414575877086,756.265101890269,2,28
"H329",204582.92676005,1024098.13736589,"West",59,0,1.57641520712529,827.607826979699,6,37
"H330",260740.65046776,1024098.13736589,"West",64,0,2.61169388135633,899.713115983108,4,19
"H331",316898.37417547,1024098.13736589,"West",66,0,2.79312348150952,936.275566195935,1,6
"H349",120346.34119848,1072732.15271547,"West",70,0,4.42144215736745,800.472878927986,1,14
"H350",176504.06490619,1072732.15271548,"West",66,0,3.18975564290434,862.832761119865,5,29
